workflow,process,a,c,M,runtime_sec,safe_old_bytes,safe_new_bytes,OOM_old,OOM_new,waste_old_GBh,waste_new_GBh
iwd,demToGraph,30900957.0,,309805056.0,6.531,319737423.85264856,365042903.8926812,0,0,1.6781474165009883e-05,9.332845209660547e-05
iwd,demToGraph,30900981.0,,300195840.0,6.29,316908858.8521788,358144171.26030594,0,0,2.7195883857967104e-05,9.429511811463274e-05
iwd,demToGraph,30901049.0,,292265984.0,6.117,320688562.75546473,339297654.19851655,0,0,4.4977942856022925e-05,7.442631412202433e-05
iwd,demToGraph,30916037.0,,290205696.0,6.117,305324808.7958825,354727699.7471303,0,0,2.3925576817558197e-05,0.00010210428203797481
iwd,demToGraph,30900356.0,,290086912.0,6.237,316529253.21734524,588629246.49701,0,0,4.2665150164673684e-05,0.00048170294101915304
iwd,demToGraph,30900926.0,,301821952.0,6.398,320961175.40141535,374150818.71383023,0,0,3.1678614341719956e-05,0.00011971636603769686
iwd,demToGraph,30900966.0,,313245696.0,7.076,321133975.7468516,362440441.8113466,0,0,1.4440018758364559e-05,9.005424187857255e-05
iwd,demToGraph,30916482.0,,293076992.0,5.83,308896690.9929672,368757360.7734244,0,0,2.3859668194264256e-05,0.00011414303701708926
iwd,demToGraph,30900983.0,,309825536.0,6.898,315887260.6663217,357575196.41385406,0,0,1.081725394878098e-05,8.52101062152238e-05
iwd,demToGraph,30916711.0,,289300480.0,6.08,304826812.8334313,376191917.48689246,0,0,2.442137432058609e-05,0.0001366715722821617
iwd,demToGraph,30900356.0,,316911616.0,6.573,316529253.21734524,588629246.49701,1,0,0.0,0.0004620394734812815
iwd,demToGraph,30900470.0,,313720832.0,6.651,327378433.14660037,537628792.1028658,0,0,2.3499520605750543e-05,0.0003852601687331168
iwd,demToGraph,30900567.0,,289673216.0,6.137,316354236.9947667,497728704.16325796,0,0,4.236002396918504e-05,0.00033031852368935785
iwd,demToGraph,30900567.0,,289116160.0,6.233,316354236.9947667,497728704.16325796,0,0,4.3920896820201665e-05,0.0003363838801599177
iwd,demToGraph,30900981.0,,300601344.0,6.337,316908858.8521788,358144171.26030594,0,0,2.673431858892685e-05,9.433493027167569e-05
iwd,demToGraph,30900926.0,,313946112.0,6.656,320961175.40141535,374150818.71383023,0,0,1.2079321572303708e-05,0.00010366720454955008
iwd,demToGraph,30900568.0,,289783808.0,6.264,315886000.4323239,497333177.01249534,0,0,4.229863624297412e-05,0.0003363340181128512
iwd,demToGraph,30900566.0,,318279680.0,6.767,315329181.47419715,498124545.8752344,1,0,0.0,0.0003148414110189799
iwd,demToGraph,30900983.0,,289013760.0,6.161,315887260.6663217,357575196.41385406,0,0,4.283246625763466e-05,0.00010927699551445608
iwd,demToGraph,30900925.0,,315224064.0,7.137,319685001.8263125,374448375.94779015,0,0,8.236439191423818e-06,0.00010934863093913901
iwd,demToGraph,30916452.0,,289230848.0,6.201,308896690.9929672,367794345.0489235,0,0,3.154800697731411e-05,0.00012603180824478222
iwd,demToGraph,30900927.0,,316620800.0,6.724,319080424.48961854,373853497.93518203,0,0,4.278525676007864e-06,9.955648460015759e-05
iwd,demToGraph,30916264.0,,288915456.0,6.06,306765350.1782958,361816426.00034946,0,0,2.7983749161286198e-05,0.00011428877043903023
iwd,demToGraph,30900981.0,,288940032.0,6.212,316908858.8521788,358144171.26030594,0,0,4.4947270822849635e-05,0.00011121443190431339
iwd,demToGraph,30900925.0,,317341696.0,6.918,319685001.8263125,374448375.94779015,0,0,4.193794630682549e-06,0.00010220334241135984
iwd,demToGraph,30900981.0,,299933696.0,6.439,316908858.8521788,358144171.26030594,0,0,2.8276783312044668e-05,9.696549068544214e-05
iwd,demToGraph,30900567.0,,289931264.0,6.293,316354236.9947667,497728704.16325796,0,0,4.301669517326762e-05,0.0003382949807751982
iwd,demToGraph,30900926.0,,319660032.0,6.683,320961175.40141535,374150818.71383023,0,0,2.2495427664728347e-06,9.420895111036369e-05
iwd,demToGraph,30900984.0,,307884032.0,6.49,325117244.5825718,357291048.0334779,0,0,2.8934006284531985e-05,8.29527811812836e-05
iwd,demToGraph,30900567.0,,308187136.0,6.428,316354236.9947667,497728704.16325796,0,0,1.3581302532915965e-05,0.0003151940182248291
iwd,demToGraph,30900927.0,,289357824.0,6.269,319080424.48961854,373853497.93518203,0,0,4.820395842334737e-05,0.0001370346432085191
iwd,demToGraph,30917814.0,,289587200.0,6.145,310715624.51756555,414154580.6724002,0,0,3.3588192286083755e-05,0.0001980267450192475
iwd,demToGraph,30911622.0,,290054144.0,5.988,304547723.2177442,309006649.4599902,0,0,2.2452001862396618e-05,2.935932398008528e-05
iwd,demToGraph,30900740.0,,290037760.0,6.311,319636688.5044726,433774143.8295391,0,0,4.8324992929825004e-05,0.00023467267510279946
iwd,demToGraph,30900357.0,,312475648.0,6.764,311557050.57415295,588161480.7627717,1,0,0.0,0.0004824093058724443
iwd,demToGraph,30900965.0,,309645312.0,6.545,314410993.9756878,362728685.5880761,0,0,8.069234520113267e-06,8.98805654229902e-05
iwd,demToGraph,30914572.0,,289886208.0,6.105,305615758.4097108,378319290.8208318,0,0,2.4842746465592277e-05,0.0001396683693090397
iwd,demToGraph,30901015.0,,310464512.0,6.591,312189514.4608554,348593564.9966834,0,0,2.9412955096141804e-06,6.501371152211095e-05
iwd,demToGraph,30912417.0,,297435136.0,6.36,307079438.44029784,407531869.6251544,0,0,1.5868123289687736e-05,0.00018114617970254216
iwd,demToGraph,30913647.0,,289669120.0,6.085,303752594.001952,394987218.69131976,0,0,2.2170118186073862e-05,0.0001657911034447557
iwd,demToGraph,30901052.0,,311787520.0,6.821,327517783.544071,338489426.4303352,0,0,2.775758495401912e-05,4.7118119419789506e-05
iwd,demToGraph,30900957.0,,300830720.0,6.399,319737423.85264856,365042903.8926812,0,0,3.12986467947092e-05,0.0001062985107947521
iwd,demToGraph,30900785.0,,289169408.0,6.072,320080600.5161239,418530646.3884821,0,0,4.855625149222305e-05,0.0002032046101508412
iwd,demToGraph,30900785.0,,290394112.0,6.088,320080600.5161239,418530646.3884821,0,0,4.6755327451498725e-05,0.00020181119166652958
iwd,demToGraph,30914371.0,,288956416.0,6.055,303884631.404617,381880282.00630844,0,0,2.3384046708480974e-05,0.00014555899443627376
iwd,demToGraph,30916436.0,,290025472.0,6.151,304430315.0334727,367281765.0279774,0,0,2.292196719050684e-05,0.00012293547454370006
