workflow,process,task_hash,a_bytes,c_bytes,M_peak_rss_bytes,M_cgroup_peak_bytes,runtime_seconds
iwd,transectAnalysis,9d432c2c,280710812,,1846370304,1846370304,131.08
iwd,transectAnalysis,1c986e67,284980380,,1871417344,1871417344,61.131
iwd,transectAnalysis,edf99d22,274173136,,1813532672,1813532672,10.347
iwd,transectAnalysis,275fa92a,264035421,,1767563264,1767563264,156.827
iwd,transectAnalysis,3fed4a34,274805092,,1816588288,1816588288,15.836
iwd,transectAnalysis,1b019c05,286967354,,1868705792,1868705792,107.893
iwd,transectAnalysis,18df0d5c,276132207,,1873743872,1873743872,10.162
iwd,networkAnalysis,bf408b6e,16636451,,57626624,57626624,1.901
iwd,networkAnalysis,63d832f1,16574533,,60268544,60268544,1.729
iwd,transectAnalysis,0e56f02d,261743803,,1750663168,1750663168,151.025
iwd,transectAnalysis,58c9b146,278494401,,1833500672,1833500672,168.758
iwd,transectAnalysis,a3ad7a59,286916040,,1862619136,1862619136,88.156
iwd,transectAnalysis,b705c746,289333887,,1874255872,1874255872,79.728
iwd,transectAnalysis,3252bed4,277716903,,1830547456,1830547456,14.769
iwd,networkAnalysis,1cc90ba2,16936088,,58667008,58667008,1.962
iwd,networkAnalysis,55235a48,16764017,,59523072,59523072,1.89
iwd,networkAnalysis,a71c73b9,16726712,,64536576,64536576,1.447
iwd,networkAnalysis,5d293968,16760002,,106102784,106102784,1.307
iwd,networkAnalysis,eb5248a5,16554035,,106250240,106250240,1.14
iwd,transectAnalysis,4b3dde36,267659320,,1781735424,1781735424,169.707
iwd,transectAnalysis,3ddd400c,283125427,,1889832960,1889832960,16.491
iwd,networkAnalysis,af6af3b6,16478475,,41058304,41058304,1.975
iwd,networkAnalysis,73fb4aca,16694592,,65417216,65417216,1.342
iwd,transectAnalysis,1fc0c53c,276598231,,1824460800,1824460800,273.939
iwd,transectAnalysis,50864573,265242471,,1778741248,1778741248,84.65
iwd,transectAnalysis,381effce,272108841,,1806553088,1806553088,20.956
iwd,transectAnalysis,ee499593,274516563,,1818406912,1818406912,29.398
iwd,transectAnalysis,9795245c,265270747,,1763545088,1763545088,7.634
iwd,transectAnalysis,c5a0d9f2,288605693,,1872986112,1872986112,20.445
iwd,transectAnalysis,3d54dd6e,290090765,,1873666048,1873666048,30.96
iwd,transectAnalysis,12978e64,284845558,,1861816320,1861816320,15.507
iwd,transectAnalysis,d4de9841,284152630,,1854955520,1854955520,327.177
iwd,transectAnalysis,6b46bf27,262776322,,1751654400,1751654400,3.773
iwd,transectAnalysis,4169c237,262628477,,1758679040,1758679040,251.126
iwd,transectAnalysis,8a36c62a,265019444,,1770438656,1770438656,210.2
iwd,transectAnalysis,4d4d2b29,282528944,,1853820928,1853820928,74.011
iwd,networkAnalysis,85125f22,17058025,,65183744,65183744,1.643
iwd,networkAnalysis,10a8ac0e,16581094,,58834944,58834944,1.827
iwd,networkAnalysis,c30e5c71,16562068,,58654720,58654720,1.605
iwd,networkAnalysis,46d5962a,17264921,,65449984,65449984,1.631
iwd,networkAnalysis,6a019ec4,17199883,,105947136,105947136,1.473
iwd,networkAnalysis,48f9cda9,16498362,,84168704,84168704,1.206
iwd,networkAnalysis,916c5bf6,16810526,,73412608,73412608,1.341
iwd,networkAnalysis,68b67441,16641487,,73863168,73863168,1.258
iwd,transectAnalysis,390b4cce,286482105,,1865592832,1865592832,44.201
iwd,networkAnalysis,ef8f65ef,17052990,,64520192,64520192,1.581
iwd,networkAnalysis,3220e9e9,16536759,,57679872,57679872,1.783
iwd,networkAnalysis,cdc42535,16882400,,64995328,64995328,1.453
iwd,networkAnalysis,1864bead,16958372,,64557056,64557056,1.699
iwd,networkAnalysis,df5e06af,16555798,,59179008,59179008,1.621
iwd,networkAnalysis,c7d2b0f3,16582611,,63840256,63840256,1.485
iwd,networkAnalysis,1acbe1b0,16803640,,62742528,62742528,1.847
iwd,networkAnalysis,a4365eae,16939980,,112672768,112672768,2.349
iwd,transectAnalysis,d394542c,285943402,,1866764288,1866764288,210.006
iwd,networkAnalysis,b3ce8276,17558881,,65036288,65036288,1.743
iwd,networkAnalysis,8e1cccd8,16876207,,65052672,65052672,1.457
iwd,networkAnalysis,9eb4d1d6,17223932,,76390400,76390400,1.671
iwd,transectAnalysis,f4a90d36,261467338,,1743499264,1743499264,3.359
iwd,transectAnalysis,b49f1769,279174611,,1831817216,1831817216,25.306
iwd,networkAnalysis,6960b83a,17244315,,64708608,64708608,1.823
iwd,networkAnalysis,83882d92,17084199,,62754816,62754816,2.164
iwd,networkAnalysis,0f05675c,16617009,,63725568,63725568,1.661
iwd,networkAnalysis,3385b7c6,16750187,,105443328,105443328,2.799
iwd,networkAnalysis,b6f2abff,17135045,,105308160,105308160,2.999
iwd,networkAnalysis,77b30b04,17137673,,63471616,63471616,2.193
iwd,networkAnalysis,3bfac07b,16780773,,63791104,63791104,1.767
iwd,networkAnalysis,0578d2b0,16946374,,65175552,65175552,1.614
iwd,networkAnalysis,8be3dd89,16814683,,64282624,64282624,1.741
iwd,networkAnalysis,b8376683,16590336,,65130496,65130496,1.411
iwd,transectAnalysis,567e823e,264754363,,1770008576,1770008576,152.808
iwd,transectAnalysis,fd3e964a,283457570,,1852702720,1852702720,134.789
iwd,transectAnalysis,e1632d0b,282771264,,1850703872,1850703872,95.133
iwd,networkAnalysis,cb6fe1dc,17242611,,110874624,110874624,4.451
iwd,networkAnalysis,d4b41709,16477753,,105779200,105779200,2.187
iwd,networkAnalysis,bc313e26,16585988,,57188352,57188352,1.942
iwd,networkAnalysis,66922f3f,16600064,,107638784,107638784,4.982
iwd,networkAnalysis,5db8ef6f,16622002,,60743680,60743680,2.209
iwd,networkAnalysis,065f44c7,16610080,,62300160,62300160,1.578
iwd,networkAnalysis,d219ceb5,16576531,,107917312,107917312,2.181
iwd,networkAnalysis,2f7ad2b4,16961779,,75882496,75882496,2.576
iwd,networkAnalysis,956d2541,16825906,,65216512,65216512,1.334
iwd,networkAnalysis,ac0fa436,16984415,,65036288,65036288,1.508
iwd,networkAnalysis,ccae3557,16925395,,64593920,64593920,2.515
iwd,networkAnalysis,c242544f,16603988,,65609728,65609728,2.355
iwd,networkAnalysis,e5645a3b,17517428,,65544192,65544192,1.682
iwd,networkAnalysis,9bfff811,17635162,,107958272,107958272,1.634
iwd,networkAnalysis,cfd19a11,16806183,,65040384,65040384,1.382
iwd,transectAnalysis,709c56e2,262717996,,1757396992,1757396992,51.941
iwd,transectAnalysis,f4ec5475,287009500,,1860071424,1860071424,65.31
iwd,networkAnalysis,b10ce3cc,17903540,,102686720,102686720,1.885
iwd,networkAnalysis,9b292a71,17057998,,105787392,105787392,1.426
iwd,networkAnalysis,5acbe0ed,16714321,,106778624,106778624,1.237
iwd,networkAnalysis,6619adb9,17669626,,107454464,107454464,1.71
iwd,networkAnalysis,0284af0d,18075875,,74420224,74420224,1.914
iwd,networkAnalysis,8692df80,16663029,,109178880,109178880,1.201
iwd,networkAnalysis,a830ee72,17281803,,65454080,65454080,1.593
iwd,networkAnalysis,6381d6d0,17149654,,75616256,75616256,1.472
iwd,networkAnalysis,ac7dfa70,17544258,,74354688,74354688,1.661
iwd,networkAnalysis,01db64f4,18021195,,64987136,64987136,2.021
iwd,networkAnalysis,b76b9bd6,17760908,,63774720,63774720,1.986
iwd,networkAnalysis,fa8acbf4,16778829,,63733760,63733760,1.502
iwd,networkAnalysis,c91410fd,17650029,,63909888,63909888,1.892
iwd,networkAnalysis,7cdf8b4d,17359755,,73670656,73670656,1.567
iwd,networkAnalysis,79804d88,17646416,,65523712,65523712,1.76
iwd,transectAnalysis,56ea295d,274951944,,1815617536,1815617536,16.086
iwd,transectAnalysis,fb139226,270963052,,1803010048,1803010048,16.17
iwd,transectAnalysis,bfc113c7,284711273,,1859584000,1859584000,232.947
iwd,networkAnalysis,b45eaffe,17963765,,107851776,107851776,1.831
iwd,networkAnalysis,5366a529,16737649,,65101824,65101824,1.423
iwd,networkAnalysis,213899c2,17640726,,65400832,65400832,1.756
iwd,networkAnalysis,6b25732f,17674332,,108187648,108187648,1.669
iwd,networkAnalysis,cd3f8fd1,16501159,,58593280,58593280,1.68
iwd,networkAnalysis,01f0df6a,16572202,,65519616,65519616,1.225
iwd,networkAnalysis,2224d9b6,17785977,,107556864,107556864,1.687
iwd,networkAnalysis,84e9fd9e,17608317,,64114688,64114688,1.892
iwd,networkAnalysis,89a72e8a,17239946,,80736256,80736256,1.536
iwd,networkAnalysis,12e5e0a4,16637569,,74477568,74477568,1.233
iwd,networkAnalysis,bf69aa61,17473653,,65523712,65523712,1.683
iwd,networkAnalysis,5b0c4c4a,17474574,,65495040,65495040,1.759
iwd,networkAnalysis,073cd4b6,17564708,,65191936,65191936,1.699
iwd,networkAnalysis,6620ae38,16634773,,73093120,73093120,1.239
iwd,transectAnalysis,97bb71c8,286338253,,1864556544,1864556544,33.509
iwd,networkAnalysis,521c5592,17382177,,75665408,75665408,1.59
iwd,networkAnalysis,9b460768,16915131,,65363968,65363968,1.495
iwd,networkAnalysis,207f4a48,17423653,,74854400,74854400,1.607
iwd,networkAnalysis,9ec31124,16476917,,75030528,75030528,1.159
iwd,networkAnalysis,3b128126,16477074,,106000384,106000384,1.142
iwd,networkAnalysis,e1d26248,17033533,,58785792,58785792,1.855
iwd,networkAnalysis,46d36167,16493568,,64557056,64557056,1.293
iwd,networkAnalysis,fa01237b,18074281,,75378688,75378688,1.908
iwd,networkAnalysis,04f1b138,17040122,,107106304,107106304,1.401
iwd,networkAnalysis,e0429d23,16622034,,65138688,65138688,1.379
iwd,networkAnalysis,9558f1d4,17352084,,89939968,89939968,1.564
iwd,networkAnalysis,adda584f,17762983,,65359872,65359872,1.765
iwd,networkAnalysis,24755fe7,16569832,,108109824,108109824,1.195
iwd,networkAnalysis,dd32c416,16568854,,65282048,65282048,1.272
iwd,networkAnalysis,a05a9486,16568423,,107597824,107597824,1.166
iwd,networkAnalysis,d1b2c27d,17506378,,75898880,75898880,1.617
iwd,networkAnalysis,9e26e535,17636950,,72916992,72916992,1.692
iwd,networkAnalysis,a5f9e1c0,17553799,,103878656,103878656,1.627
iwd,networkAnalysis,1c74f4e2,16682707,,75034624,75034624,1.266
iwd,networkAnalysis,82a0dcfd,17301033,,65347584,65347584,1.596
iwd,networkAnalysis,0e3b64cf,17432298,,65187840,65187840,1.686
iwd,networkAnalysis,48b33e61,16667224,,72622080,72622080,1.26
iwd,networkAnalysis,5f052063,16633781,,65064960,65064960,1.394
iwd,networkAnalysis,4ceb7e50,16664436,,74371072,74371072,1.255
iwd,networkAnalysis,9b1e3997,17734597,,122798080,122798080,2.318
iwd,networkAnalysis,26c7bd75,17439174,,65417216,65417216,1.654
