process,task_hash,task_name,work_dir,wrapper_pid,ebpf_tsv,ebpf_files,ebpf_read_bytes,ebpf_mmap_bytes,ebpf_total_bytes,trace_realtime_ms,trace_rchar,trace_wchar,trace_syscr,trace_syscw,trace_read_bytes,trace_write_bytes,trace_vmem_kb,trace_rss_kb,trace_peak_vmem_kb,trace_peak_rss_kb,trace_vol_ctxt,trace_inv_ctxt
BASICPY,a426571732d056e55847734602e8bd89,NFCORE_MCMICRO:MCMICRO:BASICPY (PUBLIC_0122_2),/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/work/a4/26571732d056e55847734602e8bd89,1733245,/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/results/ebpf/BASICPY/task_a426571732d056e55847734602e8bd89/ebpf_attribution_1733478.tsv,4329,1885515698,34820096,1920335794,38584,1881775177,711398,49439,117,181874688,720896,34950192,1072672,35005876,1072672,12835,5164
BASICPY,a4d7d358a363b11c5518ea23e99259f9,NFCORE_MCMICRO:MCMICRO:BASICPY (PUBLIC_0337_1),/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/work/a4/d7d358a363b11c5518ea23e99259f9,341210,/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/results/ebpf/BASICPY/task_a4d7d358a363b11c5518ea23e99259f9/ebpf_attribution_341434.tsv,4327,1885548850,33947648,1919496498,34253,1882027953,712273,49439,117,181877760,720896,34791360,1071912,34813092,1071912,12517,3189
BASICPY,a4edd3a9e1f30a1f7191c1b77488e50d,NFCORE_MCMICRO:MCMICRO:BASICPY (PUBLIC_0293_2),/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/work/a4/edd3a9e1f30a1f7191c1b77488e50d,310545,/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/results/ebpf/BASICPY/task_a4edd3a9e1f30a1f7191c1b77488e50d/ebpf_attribution_310740.tsv,4325,1885285457,33873920,1919159377,36203,1881764309,711385,49436,117,181884928,720896,34782488,1063576,34811140,1063576,11730,2792
BASICPY,a5a8588ded6e900a22fa6f98576a583b,NFCORE_MCMICRO:MCMICRO:BASICPY (PUBLIC_0184_1),/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/work/a5/a8588ded6e900a22fa6f98576a583b,220955,/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/results/ebpf/BASICPY/task_a5a8588ded6e900a22fa6f98576a583b/ebpf_attribution_221209.tsv,4328,1885548641,34062336,1919610977,33304,1882027792,712157,49439,124,181888000,770048,34942856,1074100,35006392,1074100,12863,2951
BASICPY,a5c01001624e4b0722fd1a9f9485f810,NFCORE_MCMICRO:MCMICRO:BASICPY (PUBLIC_0147_1),/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/work/a5/c01001624e4b0722fd1a9f9485f810,175088,/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/results/ebpf/BASICPY/task_a5c01001624e4b0722fd1a9f9485f810/ebpf_attribution_175252.tsv,4327,1885550991,33832960,1919383951,36258,1882030157,712273,49442,117,181888000,720896,34787292,1067424,34787292,1067424,13076,2971
BASICPY,a631bbfc79940895025dea44b79ab092,NFCORE_MCMICRO:MCMICRO:BASICPY (PUBLIC_0046_2),/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/work/a6/31bbfc79940895025dea44b79ab092,1792675,/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/results/ebpf/BASICPY/task_a631bbfc79940895025dea44b79ab092/ebpf_attribution_1793024.tsv,4329,1885516007,34869248,1920385255,39538,1881775164,711398,49439,117,181888000,720896,34948852,1075208,35004176,1075208,12699,3361
BASICPY,a6e88c98caf80326fceb563443d50979,NFCORE_MCMICRO:MCMICRO:BASICPY (PUBLIC_0325_2),/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/work/a6/e88c98caf80326fceb563443d50979,2091662,/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/results/ebpf/BASICPY/task_a6e88c98caf80326fceb563443d50979/ebpf_attribution_2091993.tsv,4329,1885516476,34783232,1920299708,40537,1881775512,711398,49440,117,181888000,720896,34784300,1065824,34784316,1065824,12951,4025
BASICPY,a706524a82e73bca6e65af2651bb7c6a,NFCORE_MCMICRO:MCMICRO:BASICPY (PUBLIC_0193_2),/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/work/a7/06524a82e73bca6e65af2651bb7c6a,1872642,/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/results/ebpf/BASICPY/task_a706524a82e73bca6e65af2651bb7c6a/ebpf_attribution_1873021.tsv,4327,1885295400,34091008,1919386408,38433,1881773988,711398,49339,117,181886976,720896,34784892,1061796,34784892,1061796,11637,2821
BASICPY,a731ee1e7c5b8fa0374ec9d794b53163,NFCORE_MCMICRO:MCMICRO:BASICPY (PUBLIC_0191_1),/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/work/a7/31ee1e7c5b8fa0374ec9d794b53163,225877,/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/results/ebpf/BASICPY/task_a731ee1e7c5b8fa0374ec9d794b53163/ebpf_attribution_226003.tsv,4323,1885109880,32198656,1917308536,24799,1882027784,712273,49439,117,181888000,720896,34785564,1068556,34785564,1068556,12859,2248
BASICPY,a7a8d28cc1c6145a34a6d0b07e43762d,NFCORE_MCMICRO:MCMICRO:BASICPY (PUBLIC_0180_1),/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/work/a7/a8d28cc1c6145a34a6d0b07e43762d,1857223,/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/results/ebpf/BASICPY/task_a7a8d28cc1c6145a34a6d0b07e43762d/ebpf_attribution_1857779.tsv,4325,1885331766,33132544,1918464310,31649,1882029778,712286,49439,117,181879808,720896,34784532,1065304,34812032,1065304,12118,2698
